crop,spi
-0.7002901,-0.3333333
-0.7002901,-0.2727273
-0.7002901,-0.2121212
-0.7002901,-0.1515152
-0.7002901,-0.09090909
-0.7002901,-0.03030303
-0.7002901,0.03030303
-0.7002901,0.09090909
-0.7002901,0.1515152
-0.7002901,0.2121212
-0.7002901,0.2727273
-0.7002901,0.3333333
-0.7002901,0.3939394
-0.7002901,0.4545455
-0.7002901,0.5151515
-0.7002901,0.5757576
-0.7002901,0.6363636
-0.7002901,0.6969697
-0.7002901,0.7575758
-0.7002901,0.8181818
-0.7002901,0.8787879
-0.7002901,0.9393939
-0.7002901,1
-0.7002901,1.060606
-0.7002901,1.121212
-0.7002901,1.181818
-0.7002901,1.242424
-0.7002901,1.30303
-0.7002901,1.363636
-0.7002901,1.424242
-0.7002901,1.484848
-0.7002901,1.545455
-0.7002901,1.606061
-0.7002901,1.666667
-0.7002901,1.727273
-0.7002901,1.787879
-0.7002901,1.848485
-0.7002901,1.909091
-0.7002901,1.969697
-0.7002901,2.030303
-0.7002901,2.090909
-0.7002901,2.151515
-0.7002901,2.212121
-0.7002901,2.272727
-0.7002901,2.333333
-0.7002901,2.393939
-0.7002901,2.454545
-0.7002901,2.515152
-0.7002901,2.575758
-0.7002901,2.636364
-0.7002901,2.69697
-0.7002901,2.757576
-0.7002901,2.818182
-0.7002901,2.878788
-0.7002901,2.939394
-0.7002901,3
-0.700290096,-3
-0.700290096,-2.939393939
-0.700290096,-2.878787879
-0.700290096,-2.818181818
-0.700290096,-2.757575758
-0.700290096,-2.696969697
-0.700290096,-2.636363636
-0.700290096,-2.575757576
-0.700290096,-2.515151515
-0.700290096,-2.454545455
-0.6516472,-2.393939
-0.6516472,-2.333333
-0.6516472,-2.272727
-0.6516472,-2.212121
-0.6516472,-2.151515
-0.6516472,-2.090909
-0.6516472,-2.030303
-0.6516472,-1.969697
-0.6516472,-1.909091
-0.6516472,-1.848485
-0.6516472,-1.787879
-0.6516472,-1.727273
-0.6516472,-1.666667
-0.6516472,-1.606061
-0.6516472,-1.545455
-0.6516472,-1.484848
-0.6516472,-1.424242
-0.6516472,-1.363636
-0.6516472,-1.30303
-0.6516472,-1.242424
-0.6516472,-1.181818
-0.6516472,-1.121212
-0.6516472,-1.060606
-0.6516472,-1
-0.6516472,-0.9393939
-0.6516472,-0.8787879
-0.6516472,-0.8181818
-0.6516472,-0.7575758
-0.6516472,-0.6969697
-0.6516472,-0.6363636
-0.6516472,-0.5757576
-0.6516472,-0.5151515
-0.6516472,-0.4545455
-0.6516472,-0.3939394
-0.6516472,-0.3333333
-0.6516472,-0.2727273
-0.6516472,-0.2121212
-0.6516472,-0.1515152
-0.6516472,-0.09090909
-0.6516472,-0.03030303
-0.6516472,0.03030303
-0.6516472,0.09090909
-0.6516472,0.1515152
-0.6516472,0.2121212
-0.6516472,0.2727273
-0.6516472,0.3333333
-0.6516472,0.3939394
-0.6516472,0.4545455
-0.6516472,0.5151515
-0.6516472,0.5757576
-0.6516472,0.6363636
-0.6516472,0.6969697
-0.6516472,0.7575758
-0.6516472,0.8181818
-0.6516472,0.8787879
-0.6516472,0.9393939
-0.6516472,1
-0.6516472,1.060606
-0.6516472,1.121212
-0.6516472,1.181818
-0.6516472,1.242424
